Date,Amount,Merchant,Description,Category
01/05/2026,1000,Let's C,Yarn,Non-Essential
02/05/2026,500,Winners,Groceries,Essential
03/05/2026,50,My.T,Airtime,Essential
04/05/2026,12.5,SaveMax,Sando - Biscuits,Non-Essential
05/05/2026,110.89,Aaron Blaise,Animation Course,Non-Essential
08/05/2026,500,InterMart,Groceries,Essential
09/05/2026,20,SaveMax,Stationery - Pens,Essential
09/05/2026,20,Etsy,Crochet Pattern,Non-Essential
10/05/2026,120,Chatime,Slushie,Non-Essential
11/05/2026,50,My.T,Airtime,Essential
13/05/2026,200,SaveMax,Cheese,Non-Essential
14/05/2026,110.89,SaveMax,Deodorant,Essential
15/05/2026,500,InterMart,Groceries,Essential
16/05/2026,20,SaveMax,Toilet Paper,Essential
